name,latitude,longitude
Abartagh,52.01916,-7.82345
Abberanville,53.25817,-8.58564
Abbernadoorny,54.68795,-8.15776
Abbert,53.41798,-8.69303
Abbert Demesne,53.42776,-8.68485
Abbeville,53.08619,-8.06461
Abbey,51.67659,-9.4767
Abbeycartron,53.73488,-7.79867
Abbeyderg,53.63528,-7.79798
Abbeydorney,52.34661,-9.68791
Abbeydown,52.69197,-6.62453
Abbey East,53.13463,-9.04522
Abbeyfarm,52.40412,-8.57747
Abbeyfeale,52.38618,-9.29707
Abbeyfeale East,52.37266,-9.29278
Abbeyfeale West,52.37814,-9.30517
Abbeyfield,53.33235,-8.40244
Abbeygormacan,53.21428,-8.35342
Abbeygrove,52.62573,-7.14942
Abbeyhalfquarter,54.11395,-9.14431
Abbey Island,54.5086,-8.20015
Abbeyland,53.99098,-7.36126
Abbey Land,53.69189,-7.62327
Abbeyland And Charlestown,53.60439,-7.49649
Abbeyland Great,53.21488,-8.10689
Abbeyland Little,53.23472,-8.05735
Abbeyland North,53.62202,-8.74377
Abbeylands,54.51402,-8.20686
Abbey-Lands,51.71497,-8.5307
Abbeyland South,53.61716,-8.74042
Abbeylara,53.77143,-7.45624
Abbeyleix,52.91528,-7.3479
Abbeyleix Demesne,52.89514,-7.37782
Abbeymahon,51.63306,-8.7476
Abbeypark,53.28341,-8.22023
Abbeyquarter,53.7568,-8.76685
Abbeyquarter North,54.26981,-8.47078
Abbeyquarter South,54.26674,-8.46833
Abbeyshrule,53.5714,-7.65802
Abbeyside,52.09318,-7.61686
Abbeystrowry,51.55522,-9.30019
Abbeytown,53.50251,-9.06582
Abbeyville,53.42894,-6.18436
Abbey West,53.12497,-9.06233
Abbotstown,53.38835,-6.3667
Abelstown,53.71422,-6.59566
Abington,52.63245,-8.41864
Ablintown,52.27636,-6.52846
Acantha,53.31229,-7.49188
Acarreagh,54.00803,-6.44357
Acaun,52.8462,-6.66464
Achillbeg Island,53.86747,-9.95999
Achill Sound,53.93026,-9.92664
Achonry,54.08012,-8.66069
Ackeys Island,54.99073,-8.44591
Aclamon,52.3202,-6.90126
Aclare,52.68402,-6.74876
Aclint,53.91963,-6.63461
Acraboy,52.50735,-8.21639
Acragar,52.76533,-7.39526
Acraroe,52.60274,-7.34145
Acre Beg,53.17363,-8.53557
Acre East,53.4358,-8.28271
Acre More,53.16856,-8.53776
Acrenakirka,52.44296,-7.81223
Acres,53.94628,-7.36182
Acre West,53.42996,-8.29588
Adamstown,51.82242,-8.50725
Adamstown Lower,52.7066,-7.43524
Adamstown Upper,52.70363,-7.4496
Adamswood,52.53145,-8.86304
Adare,52.56158,-8.78504
Addane,52.79124,-8.15999
Addanstown,53.58062,-6.86575
Addergoole,52.96888,-8.90796
Addergoole Beg,53.6312,-8.8068
Addergoole More,53.60131,-8.7265
Addergoole North,53.39096,-8.26047
Addergoole South,53.3837,-8.24409
Addergoole West,53.38577,-8.27584
Addergown,52.44711,-9.70401
Adderville,55.23167,-7.44711
Adderwal,54.906,-8.17325
Addinstown,53.61789,-7.00674
Addragool,53.31917,-9.1517
Addrigoole,51.99693,-7.71844
Addroon,52.94646,-8.95888
Aderavoher,54.28439,-8.95629
Adereen,53.92032,-8.06031
Aderg,53.73917,-8.74522
Aderrig,53.33886,-6.48611
Admiran,54.81163,-7.76762
Adoon,53.97362,-7.83727
Adragool,53.72775,-8.45885
Adramone Beg,52.16181,-7.50236
Adramone More,52.15798,-7.51343
Adraval,52.17922,-9.37953
Adrigole,51.69712,-9.72956
Adrigool,51.59443,-9.21804
Adrivale,52.02228,-9.11531
Adruel,52.96014,-7.92515
Afaddy,52.3143,-7.25825
Affane,52.12262,-7.83551
Affane Hunter,52.13164,-7.83555
Affick,52.91401,-8.79469
Affoley,52.53214,-7.50792
Affollus,53.41159,-6.5548
Affouley,52.4716,-9.55855
Afoley,53.15334,-7.47801
Agall,53.25636,-7.60302
Aggard Beg,53.20445,-8.75375
Aggard More,53.21923,-8.75148
Agha,52.73348,-6.91518
Aghabane,54.0235,-7.55978
Aghabeg,52.66456,-6.88549
Aghabeg East,52.40798,-9.66784
Aghabeg Middle,52.40516,-9.68403
Aghabeg West,52.40952,-9.69209
Aghabehy,54.09109,-8.15671
Aghaboe,52.92851,-7.52052
Aghabog,54.14724,-7.09589
Aghaboneill,54.00308,-7.8802
Aghaboy,53.79982,-7.44576
Aghaboy North,54.28963,-7.03431
Aghaboys,54.03342,-6.37516
Aghaboy South,54.26394,-7.09126
Aghabrack,53.75546,-7.48583
Aghabrick,54.24118,-6.89726
Aghabullogue,51.9443,-8.80785
Aghaburren,52.28638,-8.7176
Aghacarra,54.03236,-8.27396
Aghacarrible,52.12867,-10.18078
Aghacashel,53.85309,-7.15521
Aghacashlaun,54.04284,-7.9309
Aghaclay,54.17533,-7.03791
Aghaclogha,54.30806,-7.01755
Aghacloghan,54.02313,-6.77252
Aghaclogher,53.70938,-8.07914
Aghacocara,53.42164,-7.92347
Aghaconny,53.91777,-7.3761
Aghacoora,52.37729,-9.65155
Aghacordrinan,53.82297,-7.62502
Aghacreevy,53.83013,-7.35185
Aghacross,52.25756,-8.40191
Aghacunna,51.87593,-9.09403
Aghacurreen,52.08712,-9.55619
Aghada,51.83787,-8.21816
Aghadachor,55.14653,-7.84077
Aghadaghly,55.19876,-7.65842
Aghadangan,53.74756,-8.07354
Aghadark,54.05289,-7.81472
Aghadaugh,53.54695,-7.21996
Aghade,52.76877,-6.75098
Aghadegnan,53.74193,-7.80665
Aghaderrard East,54.42297,-8.23392
Aghaderrard West,54.4289,-8.23713
Aghaderry,54.40466,-6.98696
Aghadiffin,53.86649,-8.71955
Aghadoe,51.95102,-8.00105
Aghadonagh,53.6928,-7.59831
Aghadooey Glebe,53.8976,-9.57076
Aghadoon,53.91107,-7.32489
Aghadouglas,52.99348,-7.84393
Aghadowey,54.58616,-8.05497
Aghadown,51.54246,-9.37577
Aghadowry,53.8374,-7.67436
Aghadreen,52.90898,-7.17942
Aghadreenagh,54.0758,-7.30999
Aghadreenan,55.18734,-7.65842
Aghadrestan,53.85454,-8.58528
Aghadrinagh,53.8332,-9.30735
Aghadrumcarn,53.9537,-7.88055
Aghadrumcru,54.40378,-7.0051
Aghadrumderg,53.92079,-7.85533
Aghadrumdoney,54.1129,-7.28431
Aghadrumgowna,54.00767,-7.18838
Aghadrumgullin,54.0375,-7.36982
Aghadruminshin,53.98015,-7.70451
Aghadrumkeen,54.1483,-7.05899
Aghaduff,51.96074,-8.30763
Aghadunvane,54.4269,-8.27048
Aghafad,53.8287,-7.36227
Aghafadda,53.37661,-8.6479
Aghafarnan,53.87773,-6.82337
Aghafin,52.96721,-7.52182
Aghafore,51.61593,-8.80261
Aghafoy,54.54787,-7.85162
Aghafullim,53.36229,-6.72245
Aghagad,53.59915,-8.3441
Aghagadda,51.8905,-10.31115
Aghagah,53.92433,-7.6303
Aghagally,54.30011,-7.0136
Aghagashlan,54.06099,-7.00687
Aghagaw,54.22422,-7.13317
Aghagegna,53.88733,-7.30096
Aghaginny,54.06743,-7.99478
Aghaglasheen,54.25922,-9.9544
Aghaglass,53.97686,-6.57153
Aghaglassan,55.22253,-7.16745
Aghaglinny North,53.1389,-9.23662
Aghaglinny South,53.1274,-9.23486
Aghagolrick,53.98362,-7.23092
Aghagoogy,53.17264,-7.81821
Aghagooheen,51.65088,-9.48159
Aghagower,53.76215,-9.4622
Aghagowla,54.04621,-8.27095
Aghagowla Beg,53.85214,-9.49649
Aghagowla More,53.84944,-9.51213
Aghagrania,54.06897,-8.00616
Aghagreagh,53.80134,-7.63609
Aghagurty,53.06388,-7.75281
Aghahull,55.03977,-7.63005
Aghakee,53.9017,-7.30835
Aghakeel,53.61459,-8.00949
Aghakeeran,53.81818,-7.60455
Aghakilbrack,54.06618,-7.98731
Aghakilconnell,53.99421,-7.98408
Aghakilfaughna,53.94453,-7.85589
Aghakilmore,54.0181,-8.01599
Aghakilmore Lower,53.84249,-7.37383
Aghakilmore Upper,53.8331,-7.37501
Aghakine,53.83972,-7.59057
Aghakinnigh,54.16775,-7.67207
Aghakista,54.0903,-6.87701
Aghaknock,53.94043,-7.50951
Aghalacka,52.59162,-8.98549
Aghalackan,53.97272,-7.30565
